F090W_vega,F150W_vega
26.843,25.723
26.966,25.723
26.911,25.695
27.365,25.73
27.42,25.765
26.914,25.716
26.608,25.75
26.761,25.73
26.715,25.728
26.817,25.734
27.274,25.742
27.177,25.729
26.986,25.725
26.263,25.868
26.928,25.717
27.09,25.727
26.659,25.754
27.063,25.738
27.061,25.732
26.909,25.726
27.257,25.746
27.223,25.716
27.099,25.722
27.034,25.729
27.24,25.753
26.883,25.741
26.93,25.734
27.148,25.739
26.848,25.723
27.363,25.749
26.786,25.745
26.788,25.751
26.985,25.758
26.857,25.755
26.871,25.725
27.008,25.74
26.996,25.773
26.956,25.763
27.015,25.753
27.035,25.744
26.815,25.764
26.73,25.751
26.62,25.773
26.908,25.748
26.539,25.803
26.929,25.756
26.808,25.739
27.16,25.764
26.587,25.79
26.647,25.777
27.245,25.755
27.364,25.761
27.336,25.774
27.139,25.734
26.544,25.785
26.084,26.125
27.361,25.775
26.568,25.823
27.03,25.744
26.723,25.788
26.925,25.76
27.081,25.785
27.083,25.76
27.039,25.767
26.82,25.778
27.303,25.803
27.397,25.78
26.858,25.784
26.942,25.769
27.515,25.8
26.778,25.782
26.989,25.75
26.85,25.768
27.106,25.76
27.246,25.777
27.165,25.805
27.274,25.779
26.975,25.766
27.26,25.784
27.171,25.787
27.003,25.765
26.991,25.759
26.976,25.794
27.07,25.785
27.062,25.779
27.022,25.793
26.944,25.771
26.975,25.78
27.423,25.828
26.99,25.762
27.006,25.782
26.895,25.776
26.795,25.837
27.128,25.767
26.988,25.77
27.14,25.78
27.0,25.82
27.038,25.781
27.065,25.823
27.322,25.777
27.125,25.784
27.019,25.785
26.691,25.861
27.306,25.81
27.022,25.785
26.869,25.815
26.938,25.809
26.903,25.81
27.121,25.818
26.884,25.809
27.06,25.799
27.105,25.818
26.797,25.813
27.174,25.815
26.822,25.819
26.791,25.81
26.82,25.816
27.369,25.836
27.099,25.818
27.316,25.828
27.101,25.836
26.901,25.841
27.035,25.84
27.082,25.806
27.339,25.837
27.068,25.857
26.907,25.831
27.015,25.816
27.022,25.844
27.079,25.821
27.099,25.832
26.97,25.836
27.025,25.811
27.067,25.818
27.087,25.833
27.057,25.813
26.921,25.818
27.038,25.838
27.338,25.832
27.06,25.841
26.931,25.826
27.349,25.865
27.202,25.827
27.049,25.85
26.956,25.855
27.288,25.88
27.324,25.844
27.117,25.843
27.064,25.831
27.023,25.84
27.171,25.851
27.25,25.84
26.978,25.833
27.142,25.849
27.094,25.869
27.171,25.842
27.199,25.847
27.087,25.869
26.913,25.832
27.226,25.866
27.354,25.845
26.851,25.888
27.095,25.855
26.974,25.885
26.97,25.866
27.051,25.848
26.81,25.876
27.167,25.868
27.305,25.877
27.155,25.856
27.265,25.866
27.177,25.865
27.012,25.869
27.475,25.883
27.224,25.874
27.237,25.85
27.034,25.852
27.317,25.857
27.074,25.856
27.106,25.843
26.913,25.873
27.333,25.903
26.876,25.856
26.958,25.86
27.234,25.849
26.981,25.868
27.192,25.868
26.943,25.896
27.515,25.865
26.176,26.302
27.498,25.909
27.273,25.856
26.963,25.875
27.008,25.889
26.564,25.945
26.725,25.913
27.067,25.868
27.082,25.88
26.904,25.881
27.644,25.889
26.921,25.891
27.251,25.897
27.198,25.903
27.115,25.881
26.955,25.903
27.086,25.909
27.537,25.88
27.363,25.902
27.198,25.875
27.033,25.89
27.054,25.868
26.326,26.092
27.318,25.866
27.341,25.906
